,CAV_Timestep,Day,CAV_ALPHA,CAV_BETA,CAV_A,CAV_CQY,CAV_CUE_24,CAV_DCG,CAV_CGR,CAV_TCB,CAV_TEB,CAV_VP_SAT,CAV_VP_AIR,CAV_VPD,CAV_P_GROSS,CAV_P_NET,CAV_g_S,CAV_g_A,CAV_g_C,CAV_DTR,CAV_T_LIGHT,CAV_RH,CAV_CO2
0,0,0,0.0,0.0,0.0,0.05674362027335708,0.625,0.0,0.0,0.0,0.0,3.0533896667926457,2.47468361480545,0.5787060519871958,0.0,0.0,0.0,2.5,0.0,0.0,24.35105263,0.810470947,370
1,1,1,5.656517095131362e-06,9.050427352210178e-06,0.000159496826402873,0.05674362027335708,0.625,7.686147832283313e-05,0.0023077658866430648,0.0023077658866430648,0.0,3.0533896667926457,2.47468361480545,0.5787060519871958,0.0028467214193641896,0.002312961153233404,9.846460402257333e-05,2.5,9.846072606401187e-05,0.0004398395843922864,24.35105263,0.810470947,370
2,2,2,3.199809276692014e-05,5.119694842707222e-05,0.0009022503002176405,0.05674362027335708,0.625,0.00043479418027278505,0.013054695262690371,0.015362461149333435,0.012401960499555852,3.0533896667926457,2.47468361480545,0.5787060519871958,0.016103488158251297,0.013084084128579178,0.0005569999136896785,2.5,0.0005568758417713574,0.002487652169491206,24.35105263,0.810470947,370
3,3,3,8.817637502384488e-05,0.00014108220003815182,0.002486309462781922,0.05674362027335708,0.625,0.0011981518704000077,0.03597450990876023,0.051336971058093664,0.04657774491287807,3.0533896667926457,2.47468361480545,0.5787060519871958,0.044375995200000275,0.03605549610000022,0.0015349112722282303,2.5,0.0015339694694162858,0.00685248343039716,24.35105263,0.810470947,370
4,4,4,0.00018100854704420358,0.0002896136752707257,0.005103898444891936,0.05674362027335708,0.625,0.0024595673063306602,0.07384850837257807,0.12518547943067174,0.11673382786682723,3.0533896667926457,2.47468361480545,0.5787060519871958,0.09109508541965407,0.07401475690346893,0.0031508673287223466,2.5,0.003146901141524927,0.014057703467594536,24.35105263,0.810470947,370
5,5,5,0.0003162089185150842,0.0005059342696241347,0.00891614365080768,0.05674362027335708,0.625,0.004296687259524534,0.12900803496722413,0.25419351439789584,0.23929146108569016,3.0533896667926457,2.47468361480545,0.5787060519871958,0.15913656516757535,0.12929845919865496,0.005504338699301829,2.5,0.005492246225922853,0.02453472967302208,24.35105263,0.810470947,370
6,6,6,0.0004988009017584708,0.0007980814428135533,0.014064690250091034,0.05674362027335708,0.625,0.006777770499609527,0.20350255925077604,0.4576960736486719,0.43261889237392737,3.0533896667926457,2.47468361480545,0.5787060519871958,0.25102853702257505,0.20396068633084222,0.008682769352898021,2.5,0.008652717532653299,0.0386530532077513,24.35105263,0.810470947,370
7,7,7,0.0007333211385046505,0.0011733138216074408,0.02067745794073609,0.05674362027335708,0.625,0.00996446149510692,0.29918295639058523,0.7568790300392572,0.7168427009449834,3.0533896667926457,2.47468361480545,0.5787060519871958,0.36905412944840443,0.2998564801768286,0.01276512990412278,2.5,0.012700281606313367,0.056734159971095585,24.35105263,0.810470947,370
8,8,8,0.0010239389685414444,0.001638302349666311,0.028872009606964497,0.05674362027335708,0.625,0.013913413768729122,0.4177502484060919,1.174629278445349,1.1137054369307706,3.0533896667926457,2.47468361480545,0.5787060519871958,0.5153116210640415,0.4186906921145337,0.01782399723806971,2.5,0.01769781888807733,0.07905894680607146,24.35105263,0.810470947,370
9,9,9,0.0013745336541169206,0.002199253846587073,0.03875772881589813,0.05674362027335708,0.625,0.018677339232448447,0.5607871104542645,1.7354163888996135,1.6464531918623218,3.0533896667926457,2.47468361480545,0.5787060519871958,0.691753304905498,0.5620495602357172,0.023926898777485318,2.5,0.023700071096626047,0.10587195359935266,24.35105263,0.810470947,370
10,10,10,0.0017887477644294436,0.00286199642308711,0.05043732510015593,0.05674362027335708,0.625,0.024305733582781135,0.7297796508230036,2.465196039722617,2.339743860144175,3.0533896667926457,2.47468361480545,0.5787060519871958,0.9002123549178196,0.7314225383707285,0.031137241761790918,2.5,0.030754201360608493,0.1373838654812735,24.35105263,0.810470947,370
11,11,11,0.002270025923798596,0.0036320414780777535,0.0640079265401244,0.05674362027335708,0.625,0.030845402815893572,0.9261332195472044,3.3913292592698214,3.219570418714019,3.0533896667926457,2.47468361480545,0.5787060519871958,1.1424223265145768,0.9282181402930936,0.03951498774752916,2.5,0.03890013244475643,0.1737730237352,24.35105263,0.810470947,370
12,12,12,0.0028216440007630362,0.004514630401220858,0.0795619028090215,0.05674362027335708,0.625,0.038340859852800245,1.1511843170803273,4.5425135763501485,4.31319551994033,3.0533896667926457,2.47468361480545,0.5787060519871958,1.4200318464000088,1.1537758752000071,0.04911716071130337,2.5,0.04817075639787165,0.21518636232813732,24.35105263,0.810470947,370
13,13,13,0.0034467317501688712,0.005514770800270194,0.097187503611918,0.05674362027335708,0.625,0.04683463220295866,1.4062098318938336,5.948723408243982,5.649094860239472,3.0533896667926457,2.47468361480545,0.5787060519871958,1.734616007516987,1.409375506107552,0.05999824118705817,2.5,0.05859207266411762,0.2617400248756409,24.35105263,0.810470947,370
14,14,14,0.0041482907985926215,0.006637265277748195,0.1169693658207529,0.05674362027335708,0.625,0.05636750635249877,1.6924343782337754,7.641157786477757,7.256907519561559,3.0533896667926457,2.47468361480545,0.5787060519871958,2.0876854204629174,1.6962444041261204,0.0722104793434592,2.5,0.07018329168953787,0.31351982746846646,24.35105263,0.810470947,370
15,15,15,0.004929209214070796,0.007886734742513274,0.13898892429703405,0.05674362027335708,0.625,0.06697872573957339,2.0110362403306907,9.652194026808449,9.167391947875714,3.0533896667926457,2.47468361480545,0.5787060519871958,2.4806935459101256,2.015563506051977,0.08580414860332523,2.5,0.08295692913331311,0.3705816795291065,24.35105263,0.810470947,370
16,16,16,0.005792273505414515,0.009267637608663223,0.16332475023654194,0.05674362027335708,0.625,0.07870615380258113,2.3631522679224983,12.015346294730946,11.412386602402087,3.0533896667926457,2.47468361480545,0.5787060519871958,2.91504273342893,2.3684722209110056,0.10082775451911509,2.5,0.09691890816675577,0.43295204079752525,24.35105263,0.810470947,370
17,17,17,0.006740178644881853,0.010784285831810965,0.19005283377864643,0.05674362027335708,0.625,0.0915864101695212,2.7498819653398736,14.76522826007082,14.024774469474966,3.0533896667926457,2.47468361480545,0.5787060519871958,3.392089265537821,2.7560725282494793,0.1173282092404397,2.5,0.1120686821261221,0.5006284692406049,24.35105263,0.810470947,370
18,18,18,0.0077755365423615936,0.01244085846777855,0.21924682295288664,0.05674362027335708,0.625,0.10565498580628677,3.17229094883376,17.93751920890458,17.038450870867038,3.0533896667926457,2.47468361480545,0.5787060519871958,3.913147622455065,3.1794324432447403,0.13535097902659185,2.5,0.12839938598670628,0.5735802977108019,24.35105263,0.810470947,370
19,19,19,0.008900883286821714,0.014241413258914743,0.25097822786611196,0.05674362027335708,0.625,0.1209463414143942,3.6314139009671855,21.568933109871764,20.488294076785863,3.0533896667926457,2.47468361480545,0.5787060519871958,4.479494126459044,3.639588977747973,0.1549402103005026,2.5,0.14589802220345058,0.651749464125448,24.35105263,0.810470947,370
20,20,20,0.010118685392482694,0.016189896627972312,0.28531659682584576,0.05674362027335708,0.625,0.1374939923047851,4.128257118951172,25.697190228822937,24.410138339789476,3.0533896667926457,2.47468361480545,0.5787060519871958,5.092370085362411,4.137550694356959,0.17613883837765854,2.5,0.16454568411371945,0.7350515094421585,24.35105263,0.810470947,370
21,21,21,0.011431345231388775,0.01829015237022204,0.32232966952251096,0.05674362027335708,0.625,0.1553305822163003,4.663800731044416,30.36099095986735,28.84074903428167,3.0533896667926457,2.47468361480545,0.5787060519871958,5.752984526529641,4.674299927805333,0.19898868203241737,2.5,0.18431781814899378,0.8233767489998047,24.35105263,0.810470947,370
22,22,22,0.012841205793497953,0.020545929269596724,0.3620835112496988,0.05674362027335708,0.625,0.17448794799639178,5.239000638591663,35.59999159845901,33.817799640943754,3.0533896667926457,2.47468361480545,0.5787060519871958,6.462516592458954,5.2507947313729,0.22353052635824963,2.5,0.20518452445725102,0.9165916154460759,24.35105263,0.810470947,370
23,23,23,0.014350554885406798,0.022960887816650878,0.40464263129562317,0.05674362027335708,0.625,0.19499717665393293,5.854790229034336,41.45478182749335,39.379850358526376,3.0533896667926457,2.47468361480545,0.5787060519871958,7.222117653849367,5.867970593752611,0.2498041958561377,2.5,0.22711089414346686,1.0145401652439612,24.35105263,0.810470947,370
24,24,24,0.015961628856271066,0.025538606170033704,0.4500700880029131,0.05674362027335708,0.625,0.21688865598750487,6.512081896024833,47.96686372351818,45.566328159749965,3.0533896667926457,2.47468361480545,0.5787060519871958,8.032913184722402,6.526741962586951,0.2778486192927367,2.5,0.25005738016375356,1.1170457355143322,24.35105263,0.810470947,370
25,25,25,0.017676615922285505,0.028282585475656808,0.49842758250897806,0.05674362027335708,0.625,0.24019211975885355,7.211768395759577,55.17863211927776,52.41750813572156,3.0533896667926457,2.47468361480545,0.5787060519871958,8.896004435513094,7.228003603854389,0.30770188757054173,2.5,0.2739801979447247,1.2239127336657982,24.35105263,0.810470947,370
26,26,26,0.01949765914780309,0.031196254636484944,0.5497755428046344,0.05674362027335708,0.625,0.26493668820071936,7.954724063226599,63.13335618250436,59.97449599578683,3.0533896667926457,2.47468361480545,0.5787060519871958,9.812469933359974,7.972631820854979,0.33940130562107873,2.5,0.29883175103601595,1.3349285388516146,24.35105263,0.810470947,370
27,27,27,0.021426859130794312,0.0342829746092709,0.6041731994560071,0.05674362027335708,0.625,0.2911509045072019,8.741805907828736,71.87516209033309,68.27921160822413,3.0533896667926457,2.47468361480545,0.5787060519871958,10.78336683360007,8.761485552300057,0.3729834391514601,2.5,0.32456107653514815,1.4498654917527625,24.35105263,0.810470947,370
28,28,28,0.023466276432148814,0.037546042291438105,0.6616786541035549,0.05674362027335708,0.625,0.31886276784342144,9.573854604498727,81.44901669483181,77.37437348249792,3.0533896667926457,2.47468361480545,0.5787060519871958,11.809732142348942,9.595407365658515,0.40848415693192897,2.5,0.35111430464419857,1.5684829474900417,24.35105263,0.810470947,370
29,29,29,0.02561793378178278,0.040988694050852446,0.7223489416676844,0.05674362027335708,0.625,0.34809976332238857,10.451695393754717,91.90071208858653,87.3034841065649,3.0533896667926457,2.47468361480545,0.5787060519871958,12.892583826755128,10.475224359238542,0.4459386691981997,2.5,0.3784351265190896,1.6905293655805942,24.35105263,0.810470947,370
30,30,30,0.02788381808925338,0.04461410894280541,0.7862400870420518,0.05674362027335708,0.625,0.3788888893254905,11.376138901997852,103.27685099058438,98.11081606346285,3.0533896667926457,2.47468361480545,0.5787060519871958,14.032921826870014,11.401748984331887,0.485381562650796,2.5,0.4064652645437837,1.8157444107268652,24.35105263,0.810470947,370
31,31,31,0.030265882282310752,0.048425411651697205,0.853407156935217,0.05674362027335708,0.625,0.4112566824849707,12.347981891611244,115.62483288219562,109.84139886049353,3.0533896667926457,2.47468361480545,0.5787060519871958,15.23172898092484,12.375779797001433,0.5268468324592485,2.5,0.43514493928917825,1.9438610387955968,24.35105263,0.810470947,370
32,32,32,0.03276604699332622,0.05242567518932195,0.9239043074228639,0.05674362027335708,0.625,0.4452292405993319,13.36800794899494,128.99284083119056,122.54100641203871,3.0533896667926457,2.47468361480545,0.5787060519871958,16.489971874049328,13.398102147665078,0.5703679116182307,2.5,0.4644133276829515,2.074607543534755,24.35105263,0.810470947,370
33,33,33,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,142.4490475970663,135.3244028396207,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
34,34,34,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,155.90525436294206,148.10779926720267,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
35,35,35,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,169.3614611288178,160.89119569478464,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
36,36,36,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,182.81766789469356,173.67459212236662,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
37,37,37,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,196.2738746605693,186.4579885499486,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
38,38,38,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,209.73008142644505,199.24138497753057,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
39,39,39,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,223.1862881923208,212.02478140511255,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
40,40,40,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,236.64249495819655,224.80817783269453,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
41,41,41,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,250.0987017240723,237.5915742602765,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
42,42,42,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,263.55490848994805,250.37497068785848,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
43,43,43,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,277.0111152558238,263.15836711544046,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
44,44,44,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,290.4673220216996,275.94176354302243,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
45,45,45,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,303.9235287875754,288.7251599706044,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
46,46,46,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,317.37973555345116,301.5085563981864,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
47,47,47,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,330.83594231932693,314.29195282576836,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
48,48,48,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,344.2921490852027,327.07534925335034,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
49,49,49,0.0329822292838888,0.05277156685422209,0.93,0.05674362027335708,0.625,0.4481667532348295,13.456206765875756,357.7483558510785,339.8587456809323,3.0533896667926457,2.47468361480545,0.5787060519871958,16.598768638327016,13.4864995186407,0.5741310583176829,2.5,0.4669051574462442,2.085738939892227,24.35105263,0.810470947,370
