,Timestep,Photoperiod,PPFD,alpha,beta,DCG,DOP,CGR,TEB,P_GROSS,P_NET,T_LIGHT,VP_SAT,VP_AIR,RH,VPD,g_S,g_C,DTR,g_A
0,1,12,314.54,0.00691867456539118,0.0,0.09401183558487974,0.10153278243167013,2.822705363436014,8.53,0.0,1.088099948899071,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.032368823776053615,0.03195508437806067,0.23967213319973335,2.5
1,2,12,314.54,0.0076006751106541676,0.003011771283357833,0.103278946289983,0.11154126199318165,3.1009503623567394,11.630950362356739,0.9473225394673729,1.6690194443862676,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.04965003107371448,0.04868318246485553,0.36513758043194683,2.5
2,3,12,314.54,0.008282675655917155,0.006023542566715666,0.11254605699508628,0.1215497415546932,3.3791953612774654,15.010145723634205,1.8946450789347458,2.2499389398734637,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.06693123837137532,0.06518604527739587,0.4889136996682228,2.5
3,4,12,314.54,0.008964676201180143,0.009035313850073499,0.12181316770018956,0.13155822111620474,3.657440360198191,18.667586083832397,2.8419676184021188,2.83085843536066,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.08421244566903618,0.08146819141182693,0.6110343816523433,2.5
4,5,12,314.54,0.009646676746443133,0.012047085133431333,0.13108027840529285,0.1415667006777163,3.9356853591189176,22.603271442951314,3.7892901578694915,3.4117779308478573,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.10149365296669707,0.09753401939973554,0.7315326166100855,2.5
5,6,12,314.54,0.01032867729170612,0.015058856416789166,0.14034738911039613,0.15157518023922784,4.213930358039644,26.817201800990958,4.736612697336865,3.992697426335054,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.11877486026435795,0.11338781166965987,0.8504405239616609,2.5
6,7,12,314.54,0.011010677836969109,0.018070627700146998,0.1496144998154994,0.16158365980073935,4.492175356960369,31.309377157951328,5.6839352368042375,4.57361692182225,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.1360560675620188,0.1290337383527767,0.9677893808654403,2.5
7,8,12,314.54,0.011692678382232096,0.021082398983504832,0.15888161052060265,0.17159213936225087,4.770420355881094,36.079797513832425,6.63125777627161,5.154536417309447,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.15333727485967966,0.14447586093986942,1.0836096496462455,2.5
8,9,12,314.54,0.012374678927495084,0.024094170266862665,0.16814872122570595,0.18160061892376245,5.0486653548018205,41.128462868634244,7.578580315738983,5.735455912796644,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.17061848215734055,0.15971813579631372,1.197931004158731,2.5
9,10,12,314.54,0.013056679472758072,0.0271059415502205,0.17741583193080923,0.191609098485274,5.326910353722547,46.45537322235679,8.525902855206356,6.31637540828384,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.1878996894550014,0.17476441754147076,1.3107823551337852,2.5
10,11,12,314.54,0.01373868001802106,0.030117712833578333,0.1866829426359125,0.2016175780467855,5.605155352643273,52.06052857500006,9.47322539467373,6.897294903771037,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.20518089675266227,0.18961846229855123,1.4221918745534254,2.5
11,12,12,314.54,0.01442068056328405,0.03312948411693616,0.19595005334101578,0.21162605760829706,5.883400351563998,57.94392892656406,10.420547934141101,7.478214399258233,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.22246210405032313,0.20428393082070523,1.5321870190973532,2.5
12,13,12,314.54,0.015102681108547036,0.036141255400293996,0.20521716404611903,0.22163453716980858,6.161645350484723,64.10557427704879,11.367870473608475,8.059133894745429,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.23974331134798393,0.21876439149880392,1.6407945527021632,2.5
13,14,12,314.54,0.015784681653810022,0.03915302668365183,0.21448427475122228,0.23164301673132007,6.439890349405449,70.54546462645423,12.315193013075847,8.640053390232627,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.25702451864564485,0.23306332325610313,1.748040568272137,2.5
14,15,12,314.54,0.01646668219907301,0.042164797967009664,0.22375138545632559,0.24165149629283164,6.718135348326175,77.2635999747804,13.26251555254322,9.220972885719823,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2743057259433057,0.24718411833472106,1.853950508578608,2.5
15,16,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,84.2599803220273,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
16,17,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,91.2563606692742,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
17,18,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,98.2527410165211,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
18,19,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,105.249121363768,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
19,20,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,112.2455017110149,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
20,21,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,119.2418820582618,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
21,22,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,126.23826240550869,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
22,23,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,133.2346427527556,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
