Day,BOS_TOT_Timestep,BOS_TOT_diurnal,BOS_TOT_ALPHA,BOS_TOT_BETA,BOS_TOT_A,BOS_TOT_CQY,BOS_TOT_CUE_24,BOS_TOT_DCG,BOS_TOT_DCGR,BOS_TOT_DWCGR,BOS_TOT_DOP,BOS_TOT_DOC,BOS_TOT_DTR,BOS_TOT_DCO2C,BOS_TOT_DCO2P,BOS_TOT_DNC,BOS_TOT_DWC
0,276,12,3.600840496574473e-05,5.761344794519157e-05,0.00101532908312237,1.36184688656057,15.0,3.7438273468409785e-05,0.0011241496778675733,0.02248299355735145,0.0020701091377053234,0.0027601455169404313,0.286668891469813,0.002847153741715667,0.0037962049889542224,1.911781918858459e-06,0.309408988113249
1,852,12,0.0003869624320988258,0.0006191398913581213,0.010911180646836998,1.36184688656057,15.0,0.0003061241253127773,0.009191912579735437,0.18383825159470857,0.016926804854309085,0.022569073139078782,3.080237943607785,0.02328051932066649,0.031040692427555323,1.563219971116332e-05,3.2661784678249015
2,1428,12,0.0013471101323456207,0.0021553762117529933,0.0379844677052622,1.36184688656057,15.0,0.0009506914667638536,0.028546174999651543,0.5709234999930304,0.052567463992348566,0.07008995198979809,10.719278866296246,0.072299401549535,0.09639920206604666,4.854697047142872e-05,11.296731131837868
3,2004,12,0.0031046134490787212,0.004967381518525955,0.0875407930371037,1.36184688656057,15.0,0.002069892938008835,0.06215215777635679,1.2430431555271346,0.1144525077701403,0.15260334369352038,24.688484588410567,0.15741386761265655,0.2098851568168754,0.00010569888849701243,25.945742498330045
4,2580,12,0.005809198747469529,0.009294717995951246,0.1638019913282729,1.36184688656057,15.0,0.0037447503578327524,0.11244268280705459,2.24885365614109,0.20706195067237787,0.2760826008965038,46.15105644265938,0.2847855684929232,0.37971409132389755,0.00019122532535546143,48.42562674608197
5,3156,12,0.009589522288400303,0.015343235661440486,0.27039578348237003,1.36184688656057,15.0,0.0060457518362419796,0.18153427894887886,3.630685578977574,0.33429335706582886,0.4457244760877718,76.08085043706461,0.45977507420488045,0.6130334322731739,0.000308725749764755,79.75305452933878
6,3732,12,0.014560248017693999,0.023296396828310396,0.410555349060955,1.36184688656057,15.0,0.009036158184107662,0.2713264627546548,5.42652925509309,0.4996446655708068,0.6661928874277424,115.31279304294806,0.6871933238674952,0.9162577651566604,0.0004614305690912432,120.8013770869043
7,4308,12,0.020825844379533817,0.033321351007254106,0.5872263850408489,1.36184688656057,15.0,0.012773864968158351,0.38355764993264874,7.671152998652968,0.7063171493928863,0.9417561991905149,164.5674241801086,0.9714432336456655,1.2952576448608872,0.0006522962150129813,172.32630024396414
8,4884,12,0.02848291373833954,0.04557266198134327,0.8031327885284941,1.36184688656057,15.0,0.01731257749383965,0.5198404362631497,10.396808725262984,0.957280385738666,1.2763738476515547,224.46408585485707,1.3166090533507098,1.7554787378009462,0.000884065143909116,234.9797867375135
9,5460,12,0.03762174683790552,0.060194794940648826,1.0608204878480794,1.36184688656057,15.0,0.02270260962473538,0.681685583549523,13.633711670990449,1.2553164256780498,1.6737552342373998,295.52835124231734,1.726517116082196,2.302022821442928,0.0011593066284986105,309.31797050348064
10,6036,12,0.048327422536439436,0.0773238760583031,1.3626884517731255,1.36184688656057,15.0,0.028991456506312085,0.8705192166509064,17.41038433301811,1.6030514622888217,2.137401949718429,378.1963252189593,2.2047793934563495,2.9397058579417994,0.0014804460039244728,395.8058050830293
11,6612,12,0.06068062023469182,0.0970889923755069,1.7110115975644447,1.36184688656057,15.0,0.03622422193621531,1.087695656023253,21.75391312046504,2.002979461638355,2.670639282184473,472.81722713579416,2.7548259968093802,3.6731013290791736,0.0018497864913778021,494.8199059814915
12,7188,12,0.074758240461356,0.1196131847381696,2.107958289618186,1.36184688656057,15.0,0.044443947392463455,1.334507297366652,26.69014594733302,2.4574803560443463,3.276640474725795,579.6550873889305,3.3799301995547233,4.506573599406298,0.0022695259998916084,606.6504470914338
13,7764,12,0.09063389172697425,0.1450142267631588,2.5556040672866187,1.36184688656057,15.0,0.05369187179535549,1.6121924114311907,32.24384822862378,2.9688344073306228,3.9584458764408303,698.8900828811104,4.083228191889093,5.444304255852123,0.002741770391058237,731.502653934196
14,8340,12,0.1083782808785223,0.17340524940563568,3.055942651707313,1.36184688656057,15.0,0.06400764086774235,1.9219414304254827,38.43882860850962,3.539233783178578,4.718978377571437,830.6198587124289,4.867735002490381,6.490313336653841,0.003268544169991963,869.4982525165392
15,8916,12,0.12805953181611612,0.20489525090578578,3.6108949326588977,1.36184688656057,15.0,0.07542947881948782,2.2649021031430556,45.29804206286108,4.170792050235118,5.561056066980158,974.861071320475,5.736357554997299,7.648476739996399,0.0038517992523798695,1020.6771167523378
16,9492,12,0.14974344974914172,0.23958951959862673,4.222316419791805,1.36184688656057,15.0,0.0879943312232884,2.6421837850588745,52.843675701177446,4.865552074277731,6.487402765703641,1131.5513118231895,6.691905533612601,8.92254071148347,0.004493422260422166,1184.9992785885515
17,10068,12,0.17349374320540867,0.2775899891286539,4.892003502620913,1.36184688656057,15.0,0.10173798543176354,3.0548610540632057,61.09722108126406,5.625492678548206,7.50065690473094,1300.5515123672753,7.737100540736106,10.316134054314809,0.005195240671919597,1362.3474074952635
18,10644,12,0.1993722126927978,0.3189955403084765,5.62169877021849,1.36184688656057,15.0,0.11669517319095889,3.503976791611625,70.07953583223244,6.452534317656133,8.603379090208179,1481.6488949015252,8.874583900647727,11.832778534196969,0.0059590280602223435,1552.5298215666946
19,11220,12,0.22743891263661764,0.36390226021858824,6.413095577362233,1.36184688656057,15.0,0.1328996589330389,3.9905448338676255,79.81089667735245,7.3485439596285556,9.798058612838073,1674.5604867152458,10.106923374103175,13.475897832137568,0.006786508602888088,1755.2840566888203
20,11796,12,0.2577522916136771,0.4124036665818833,7.267841998715753,1.36184688656057,15.0,0.15038431640061864,4.515552272482276,90.31104544964543,8.315339322770122,11.087119097026829,1878.937198019571,11.43661898555924,15.248825314078987,0.007679360994496315,1970.280990662485
21,12372,12,0.29036931475186284,0.4645909036029805,8.18754428012977,1.36184688656057,15.0,0.16918119565481338,5.079961466628168,101.59922933256327,9.354692580801252,12.472923441068335,2094.3684326007906,12.866108119087688,17.15481082545025,0.008639221868408072,2197.129494557581
22,12948,12,0.325345571319554,0.5205529141112863,9.173769872341092,1.36184688656057,15.0,0.18932158207696348,5.684711814629463,113.69423629258915,10.468333625295177,13.957778167060237,2320.3871825310152,14.397770005413976,19.1970266738853,0.009667688809683515,2435.3815632615006
23,13524,12,0.36273536989978017,0.5803765918396483,10.228050114598581,1.36184688656057,15.0,0.21083604864304606,6.330721323592583,126.61442647185156,11.657952956135409,15.543937274847213,2556.475541785231,16.03392969734863,21.378572929798175,0.010766323024469825,2684.537860847796
24,14100,12,0.4025918230677504,0.6441469169084005,11.351882622315655,1.36184688656057,15.0,0.23375450249840324,7.018888007893929,140.37776015787847,12.925204256815325,17.23360567575377,2802.0705612302754,17.776861611761767,23.70248214901569,0.011936651718335333,2944.053603854751
25,14676,12,0.44496692312503655,0.7119470770000584,12.54673342254724,1.36184688656057,15.0,0.2581062266669237,7.750091141571051,155.0018228314209,14.271706700702596,19.028942267603462,3056.5703587058997,19.628792701536348,26.17172360204846,0.013180170226144969,3213.3446967007058
26,15252,12,0.4899116101599858,0.7838585762559773,13.814038873089379,1.36184688656057,15.0,0.2839199175780874,8.525192385137835,170.50384770275656,15.69904702605683,20.93206270140911,3319.3403926756523,21.59190530947289,28.789207079297185,0.014498343928375255,3491.7940281289525
27,15828,12,0.5374758334811186,0.8599613335697897,15.15520739471691,1.36184688656057,15.0,0.3112237189765713,9.345036803779761,186.90073607559506,17.208781411024816,22.94504188136642,3589.71980599678,23.668339747090585,31.55778632945411,0.015892609982705166,3778.7578355744145
28,16404,12,0.5877086072934835,0.9403337716695737,16.571621041089795,1.36184688656057,15.0,0.340045252684681,10.210453791049746,204.20907582099474,18.802437174616156,25.06991623282154,3867.027747486825,25.86019663408806,34.48026217878408,0.017364378894896785,4073.5720454154157
29,16980,12,0.6406580613463433,1.0250528981541491,18.06463692686601,1.36184688656057,15.0,0.37041164661205633,11.122257909908562,222.44515819817104,20.481514325469853,27.308685767293138,4150.569582824903,28.169539028461323,37.55938537128176,0.0189150359491083,4375.558500888122
